id,image_url,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,us_viewers_in_millions,video_url,views
122,http://static-media.fxx.com/img/FX_Networks_-_FXX/834/118/Simpsons_06_17.jpg,8.3,1190,19,122,19/03/1995,1995,2F15,6,Lisa's Wedding,14.4,http://www.simpsonsworld.com/video/275751491511,74266
121,http://static-media.fxx.com/img/FX_Networks_-_FXX/273/474/Simpsons_06_23__719260.jpg,8.5,1223,18,121,05/03/1995,1995,2F31,6,A Star Is Burns,14.4,http://www.simpsonsworld.com/video/283753539580,71936
120,http://static-media.fxx.com/img/FX_Networks_-_FXX/709/990/Simpsons_06_16.jpg,7.9,1006,17,120,26/02/1995,1995,2F14,6,Homer vs. Patty and Selma,18.9,http://www.simpsonsworld.com/video/305686083529,60599
119,http://static-media.fxx.com/img/FX_Networks_-_FXX/831/691/Simpsons_06_15.jpg,8.5,1353,16,119,19/02/1995,1995,2F13,6,Bart vs. Australia,15.1,http://www.simpsonsworld.com/video/275748931680,80724
118,http://static-media.fxx.com/img/FX_Networks_-_FXX/526/207/Simpsons_06_14.jpg,8.5,1254,15,118,12/02/1995,1995,2F12,6,Homie the Clown,17.6,http://www.simpsonsworld.com/video/279723587611,73123
117,http://static-media.fxx.com/img/FX_Networks_-_FXX/829/739/Simpsons_06_13.jpg,8.6,1221,14,117,05/02/1995,1995,2F11,6,Bart's Comet,18.7,http://www.simpsonsworld.com/video/275746883888,67619
116,http://static-media.fxx.com/img/FX_Networks_-_FXX/666/423/Simpsons_06_12.jpg,8.5,1284,13,116,22/01/1995,1995,2F10,6,And Maggie Makes Three,17.3,http://www.simpsonsworld.com/video/278796867754,63051
115,http://static-media.fxx.com/img/FX_Networks_-_FXX/828/763/Simpsons_06_11__977485.jpg,8.9,1457,12,115,08/01/1995,1995,2F09,6,Homer the Great,20.1,http://www.simpsonsworld.com/video/275745859881,71002
114,http://static-media.fxx.com/img/FX_Networks_-_FXX/708/514/Simpsons_06_10.jpg,7.8,1100,11,114,18/12/1994,1994,2F08,6,Fear of Flying,15.6,http://www.simpsonsworld.com/video/305684547546,61569
113,http://static-media.fxx.com/img/FX_Networks_-_FXX/440/151/Simpsons_06_09.jpg,8,1060,10,113,04/12/1994,1994,2F07,6,Grampa vs. Sexual Inadequacy,14.1,http://www.simpsonsworld.com/video/274264643876,64719
112,http://static-media.fxx.com/img/FX_Networks_-_FXX/829/739/homner_badman.jpg,9,1655,9,112,27/11/1994,1994,2F06,6,Homer Badman,17,http://www.simpsonsworld.com/video/275746883653,71577
111,http://static-media.fxx.com/img/FX_Networks_-_FXX/829/238/Simpsons_06_07.jpg,8.4,1236,8,111,13/11/1994,1994,2F05,6,Lisa on Ice,17.9,http://www.simpsonsworld.com/video/275746371575,63564
110,http://static-media.fxx.com/img/FX_Networks_-_FXX/827/287/Simpsons_06_06.jpg,8,1150,7,110,06/11/1994,1994,2F04,6,Bart's Girlfriend,15.3,http://www.simpsonsworld.com/video/275744323759,62450
